#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
# Essentials
,man-db,"lets you read man pages of programs."
,xclip,"allows for copying and pasting from the command line."
,entr,"is an automation tool for the Linux shell"
,parallel,"is a tool for executing shell commands in parallel"
,cronie,"is a cronjob manager"
,rsync,"is a synchronisation tool"
A,task-spooler,"queues commands or files for download."
A,htop-vim-git,"is a graphical and colorful system monitor."
,gnome-keyring,"serves as the system keyring."
# Networking
A,capnet-assist,"allows logging into captive portals."
# File browser
A,lf-git,"is an extensive terminal file manager that everyone likes."
,dmenufm,"is a dmenu file-viewer."
# Terminal Emulator
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,noto-fonts-emoji,"is an emoji font."
# Shell
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
,highlight,"can highlight code output."
# Social networking and news
A,signal-cli,"is a the command line interface to the singal messenging application"
A,scli-git, "is the frontend to signal-cli"
P,pyqrcode,"is the python module for creating qr codes. This is required to set up the singal cli"
A,mutt-wizard-git, "is Luke Smith's email configuration script"
,urlview,"is for opening urls inside mutt."
,irssi,"is a command line IRS client"
,newsboat,"is a terminal RSS client."
,abook,"is an offline addressbook usable by neomutt."
# Plaintext editing
,neovim,"a tidier vim with some useful features"
A,neovim-remote,"is to prevent neovim from opening new instances"
P,pybtex,"is a dependency of the citation.vim plugin"
,fzf,"is a fuzzy finder tool. This is the a dependency for the vim-zettel addon"
,the_silver_seracher,"is a dependency for the vim-zettel plugin."
# Documents
,libreoffice-still,"is some libre-bloat to look at normie files and make useless things like slideshows."
,pandoc,"is a markdown document converter."
,ghostscript,"is required to compile pdfs with Luke's compiler script"
,texlive-most,"contains all manner of TeX packages"
,plantuml,"is used to create diagrams from plaintext syntax"
A,pandoc-plantuml-filter-py,"is a pandoc filter to create diagrams with plantuml"
# Make proprietary Wifi Dongle
,linux-headers,"provides the linux kernel headers, which are in turn required for a proprietary driver I have to use."
A,rtl8821au-dkms-git,"is a proprietary driver for my wifi dongle"
# Browsers
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,qutebrowser,"is a keyboard-driven browser."
A,qutebrowser-profile-git,"is a wrapper script, which allows running separate qutebrowser profiles."
rofi,"is a dmenu alternative, which the previous script relies on. I would like to get rid of this in the future."
,lynx,"is a terminal browser. It is useful for displaying html email in neomutt."
,torbrowser-launcher,"is a browser for accessing the tor network"
# X Window system and GUI configuration
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinput,"is a programme to configure X input devices. I mainly use this to turn off my keyboard"
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xprop,"is a tool for detecting window properties."
,xwallpaper,"sets the wallpaper."
,xdotool,"provides window action utilities on the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,unclutter,"hides an inactive mouse."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
#### A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
A,libxft-bgra-git,"is currently required for dwm (See Github). This should already be installed through a separate line of code in larbs."
# Keyboard configuration
,xcape,"gives the special escape/super mappings of LARBS."
# Audio
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
#### ,mpd,"is a lightweight music daemon."
#### ,mpc,"is a terminal interface for mpd."
#### ,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
# Security and Pentesting
,encfs,"is for filesystem-level encryption."
,nyx,"is a command line monitor for tor."
,tor,"is an anonymising communication service."
,torctl,"routes all system traffic through tor. Installation requires the blackarch repos."
,firejail,"is a tool for sandboxing applications using namespaces and seccomp-bpf"
,proxychains,"allows routing traffic through proxies, even if the application does not natively support it."
,testdisk,"is a file recovery tool."
# Library Management
A,ocrmypdf,"is a package for making scanned pdf documents searchable"
,tesseract-data-en,"is a tesseract language pack required to run ocrmypdf for English texts"
,tesseract-data-deu,"is a tesseract language pack required to run ocrmypdf for German texts"
P,gscholar,"is an unofficial API for google scholar."
A,zotero,"is a GUI literature management software. I am mainly using it to autocomplete citation information"
# Media
,mediainfo,"shows audio and video information."
## PDF
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,mupdf-gl,"is a pdf viewer, which supports basic annotation features"
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
## Archives
,unrar,"extracts rar's."
,unzip,"unzips zips."
,atool,"manages and gives information about archives."
## Images
,sxiv,"is a minimalist image viewer."
,maim,"can take quick screenshots at your request."
## Video
,mpv,"is the patrician's choice video player."
####,ffmpeg,"can record and splice video and audio on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
A,pipe-viewer-git,"is for watching Youtube videos from the command line"
# Learning
,anki,"is a foss flashcard system"
A,ttyper-git,"is a command line typing speed test."
# Hardware
A,simple-mtpfs,"enables the mounting of cell phones."
,exfat-utils,"allows management of FAT drives."
,usbutils,"used to be in arch base package group but has been removed"
A,apfs-fuse-git,"is needed for mounting Apple Filesystem Partitions"
####,dosfstools,"allows your computer to access dos-like filesystems."
####,ntfs-3g,"allows accessing NTFS partitions."
